door_size,W_UNIT_SIZE,H_UNIT_SIZE,W_RO,H_RO
"2'0"" X 6'8""",25 5/8,82,26 3/8,82 1/2
"2'4"" X 6'8""",29 5/8,82,30 3/8,82 1/2
"2'6"" X 6'8""",31 5/8,82,32 3/8,82 1/2
"2'8"" X 6'8""",33 5/8,82,34 3/8,82 1/2
"2'10"" X 6'8""",35 5/8,82,36 3/8,82 1/2
"3'0"" X 6'8""",37 5/8,82,38 3/8,82 1/2
"3'6"" X 6'8""",43 5/8,82,44 3/8,82 1/2
"4'8"" X 6'8""",58 3/8,82,59 1/8,82 1/2
"5'0"" X 6'8""",62 3/8,82,63 1/8,82 1/2
"5'4"" X 6'8""",66 3/8,82,67 1/8,82 1/2
"5'8"" X 6'8""",70 3/8,82,71 1/8,82 1/2
"6'0"" X 6'8""",74 3/8,82,75 1/8,82 1/2
"2'0"" X 8'0""",25 5/8,98,26 3/8,98 1/2
"2'4"" X 8'0""",29 5/8,98,30 3/8,98 1/2
"2'6"" X 8'0""",31 5/8,98,32 3/8,98 1/2
"2'8"" X 8'0""",33 5/8,98,34 3/8,98 1/2
"2'10"" X 8'0""",35 5/8,98,36 3/8,98 1/2
"3'0"" X 8'0""",37 5/8,98,38 3/8,98 1/2
"3'6"" X 8'0""",43 5/8,98,44 3/8,98 1/2
"4'8"" X 8'0""",58 3/8,98,59 1/8,98 1/2
"5'0"" X 8'0""",62 3/8,98,63 1/8,98 1/2
"5'4"" X 8'0""",66 3/8,98,67 1/8,98 1/2
"5'8"" X 8'0""",70 3/8,98,71 1/8,98 1/2
"6'0"" X 8'0""",74 3/8,98,75 1/8,98 1/2
